N.rep,N.col,expr,time
1,9,data.table::melt.old.set,3543240
1,9,tidyr::pivot_longer,47907120
1,9,data.table::melt.old.join,5866040
1,9,data.table::melt.new.pattern,11514320
1,9,data.table::melt.new.pattern,9320520
1,9,data.table::melt.old.set,1930440
1,9,data.table::melt.old.join,2198600
1,9,data.table::melt.new.sep,10871360
1,9,data.table::melt.old.join,2666560
1,9,data.table::melt.new.sep,9992080
1,9,data.table::melt.old.join,2337760
1,9,tidyr::pivot_longer,18312520
1,9,data.table::melt.old.set,2320880
1,9,data.table::melt.new.sep,10653480
1,9,data.table::melt.old.set,1960920
1,9,tidyr::pivot_longer,10584080
1,9,tidyr::pivot_longer,11477720
1,9,tidyr::pivot_longer,10888760
1,9,data.table::melt.new.sep,9801640
1,9,data.table::melt.new.sep,9413720
1,9,data.table::melt.new.pattern,9728640
1,9,data.table::melt.old.set,1974840
1,9,data.table::melt.old.join,2355160
1,9,tidyr::pivot_longer,10471160
1,9,data.table::melt.old.join,2444440
1,9,data.table::melt.old.set,2101240
1,9,data.table::melt.new.pattern,10695080
1,9,data.table::melt.old.set,13141640
1,9,tidyr::pivot_longer,10376120
1,9,data.table::melt.new.sep,9562280
1,9,data.table::melt.new.pattern,9091160
1,9,data.table::melt.new.pattern,9215280
1,9,data.table::melt.new.sep,9298160
1,9,tidyr::pivot_longer,10196480
1,9,data.table::melt.old.join,2338120
1,9,data.table::melt.new.sep,9268720
1,9,data.table::melt.new.pattern,9242240
1,9,tidyr::pivot_longer,13808880
1,9,data.table::melt.new.pattern,9458400
1,9,data.table::melt.old.set,2133120
1,9,data.table::melt.old.set,1848640
1,9,data.table::melt.new.sep,9145280
1,9,data.table::melt.old.join,2425600
1,9,data.table::melt.new.pattern,9133640
1,9,data.table::melt.old.join,2194200
1,9,data.table::melt.old.set,1870480
1,9,tidyr::pivot_longer,10145600
1,9,data.table::melt.new.sep,9353960
1,9,data.table::melt.old.join,2219840
1,9,data.table::melt.new.pattern,9466640
3,17,data.table::melt.new.sep,9653520
3,17,data.table::melt.old.set,1951160
3,17,data.table::melt.new.sep,9266920
3,17,data.table::melt.new.pattern,9156080
3,17,data.table::melt.new.sep,9630160
3,17,tidyr::pivot_longer,10823040
3,17,data.table::melt.old.set,2258000
3,17,tidyr::pivot_longer,10403960
3,17,data.table::melt.new.pattern,12430000
3,17,tidyr::pivot_longer,10396080
3,17,data.table::melt.old.set,2101960
3,17,data.table::melt.old.join,2262840
3,17,data.table::melt.new.pattern,9222800
3,17,data.table::melt.old.join,2358880
3,17,data.table::melt.old.join,2281880
3,17,tidyr::pivot_longer,10503440
3,17,data.table::melt.new.pattern,9585240
3,17,data.table::melt.new.sep,9453320
3,17,tidyr::pivot_longer,11423320
3,17,data.table::melt.new.pattern,11923200
3,17,tidyr::pivot_longer,11406320
3,17,data.table::melt.new.sep,9719360
3,17,data.table::melt.old.set,2022280
3,17,data.table::melt.new.sep,9668600
3,17,data.table::melt.old.join,2313280
3,17,data.table::melt.old.set,10545680
3,17,data.table::melt.new.pattern,9392360
3,17,tidyr::pivot_longer,10353280
3,17,data.table::melt.old.set,2050680
3,17,tidyr::pivot_longer,10260320
3,17,data.table::melt.old.set,2085440
3,17,data.table::melt.old.set,1822800
3,17,data.table::melt.new.sep,9999280
3,17,tidyr::pivot_longer,10609240
3,17,data.table::melt.old.join,2401160
3,17,tidyr::pivot_longer,10521800
3,17,data.table::melt.old.join,2364400
3,17,data.table::melt.new.sep,9223520
3,17,data.table::melt.new.pattern,9407640
3,17,data.table::melt.new.pattern,11014960
3,17,data.table::melt.old.join,2281160
3,17,data.table::melt.new.sep,9596760
3,17,data.table::melt.old.join,2344560
3,17,data.table::melt.new.sep,9373960
3,17,data.table::melt.new.pattern,9549480
3,17,data.table::melt.old.join,2227640
3,17,data.table::melt.old.join,2597080
3,17,data.table::melt.old.set,2196880
3,17,data.table::melt.old.set,2072600
3,17,data.table::melt.new.pattern,9997720
10,45,tidyr::pivot_longer,11422240
10,45,data.table::melt.new.sep,10113880
10,45,data.table::melt.old.join,2828720
10,45,data.table::melt.new.pattern,9563400
10,45,data.table::melt.old.join,2746440
10,45,data.table::melt.new.sep,9536560
10,45,data.table::melt.old.join,2669200
10,45,data.table::melt.old.set,2156160
10,45,data.table::melt.new.sep,9455000
10,45,data.table::melt.new.pattern,10904560
10,45,data.table::melt.old.join,2571960
10,45,tidyr::pivot_longer,11318160
10,45,data.table::melt.old.join,2788760
10,45,data.table::melt.new.sep,9676560
10,45,data.table::melt.old.join,2665360
10,45,data.table::melt.new.sep,9573680
10,45,data.table::melt.old.join,2606240
10,45,data.table::melt.old.set,2152680
10,45,data.table::melt.old.join,2693320
10,45,data.table::melt.old.join,2951600
10,45,data.table::melt.old.set,2439640
10,45,tidyr::pivot_longer,11600480
10,45,tidyr::pivot_longer,12499600
10,45,tidyr::pivot_longer,11787600
10,45,data.table::melt.new.sep,9852200
10,45,data.table::melt.old.set,2221240
10,45,tidyr::pivot_longer,11547960
10,45,data.table::melt.old.set,2422000
10,45,tidyr::pivot_longer,11599280
10,45,data.table::melt.new.pattern,18545400
10,45,data.table::melt.new.pattern,10899800
10,45,data.table::melt.new.pattern,10744320
10,45,tidyr::pivot_longer,11338400
10,45,data.table::melt.new.pattern,9934120
10,45,data.table::melt.new.sep,9603880
10,45,data.table::melt.new.pattern,9564480
10,45,data.table::melt.old.join,2534960
10,45,data.table::melt.old.set,2085680
10,45,data.table::melt.new.sep,9624640
10,45,data.table::melt.new.sep,9356400
10,45,data.table::melt.new.sep,9487480
10,45,data.table::melt.old.set,2039760
10,45,data.table::melt.old.set,1939000
10,45,tidyr::pivot_longer,12010520
10,45,data.table::melt.new.pattern,10102680
10,45,data.table::melt.new.pattern,9682680
10,45,data.table::melt.new.pattern,9637440
10,45,data.table::melt.old.set,2032520
10,45,tidyr::pivot_longer,11257400
10,45,data.table::melt.old.set,2340640
31,129,data.table::melt.old.join,3515960
31,129,data.table::melt.new.pattern,10235320
31,129,data.table::melt.old.set,2376160
31,129,tidyr::pivot_longer,13566120
31,129,data.table::melt.new.pattern,10090120
31,129,data.table::melt.new.sep,10857080
31,129,data.table::melt.new.sep,10207960
31,129,tidyr::pivot_longer,13818120
31,129,data.table::melt.new.pattern,11458880
31,129,data.table::melt.new.pattern,11428280
31,129,data.table::melt.new.pattern,11580120
31,129,data.table::melt.old.set,2815440
31,129,data.table::melt.new.pattern,11717840
31,129,tidyr::pivot_longer,16180320
31,129,data.table::melt.new.sep,11950040
31,129,data.table::melt.old.join,3630600
31,129,data.table::melt.old.set,2994880
31,129,tidyr::pivot_longer,14659320
31,129,tidyr::pivot_longer,14098200
31,129,data.table::melt.old.join,3458960
31,129,data.table::melt.old.join,3339960
31,129,data.table::melt.old.set,2514640
31,129,tidyr::pivot_longer,14526400
31,129,data.table::melt.old.set,2822400
31,129,tidyr::pivot_longer,22640720
31,129,data.table::melt.new.sep,10658160
31,129,tidyr::pivot_longer,13900720
31,129,tidyr::pivot_longer,13666880
31,129,data.table::melt.old.set,2673240
31,129,data.table::melt.new.sep,11155160
31,129,data.table::melt.new.sep,10396520
31,129,data.table::melt.old.set,2474680
31,129,data.table::melt.old.join,3402560
31,129,data.table::melt.new.pattern,12288440
31,129,tidyr::pivot_longer,13636560
31,129,data.table::melt.old.join,3326960
31,129,data.table::melt.new.pattern,10649600
31,129,data.table::melt.old.join,3579600
31,129,data.table::melt.new.pattern,12373840
31,129,data.table::melt.new.sep,10492120
31,129,data.table::melt.new.pattern,10572560
31,129,data.table::melt.old.set,2381880
31,129,data.table::melt.old.set,2407840
31,129,data.table::melt.old.join,3651800
31,129,data.table::melt.old.join,3790680
31,129,data.table::melt.old.set,2719280
31,129,data.table::melt.old.join,3682880
31,129,data.table::melt.new.sep,10869960
31,129,data.table::melt.new.sep,10469680
31,129,data.table::melt.new.sep,10675640
100,405,tidyr::pivot_longer,20982640
100,405,data.table::melt.new.sep,11722080
100,405,data.table::melt.new.sep,12235040
100,405,data.table::melt.new.pattern,11957080
100,405,data.table::melt.old.join,5753240
100,405,data.table::melt.old.set,3904600
100,405,data.table::melt.old.join,6007800
100,405,data.table::melt.old.join,7021520
100,405,data.table::melt.new.sep,13040880
100,405,tidyr::pivot_longer,23008560
100,405,data.table::melt.old.set,4372680
100,405,tidyr::pivot_longer,22746440
100,405,data.table::melt.old.set,4464200
100,405,data.table::melt.new.pattern,12495000
100,405,data.table::melt.new.sep,13325760
100,405,data.table::melt.new.pattern,12494560
100,405,data.table::melt.old.join,6694000
100,405,data.table::melt.new.sep,12236840
100,405,data.table::melt.old.join,6683040
100,405,tidyr::pivot_longer,22648640
100,405,data.table::melt.old.set,7330280
100,405,data.table::melt.new.sep,12813160
100,405,data.table::melt.new.sep,21974520
100,405,tidyr::pivot_longer,20863920
100,405,tidyr::pivot_longer,20932720
100,405,data.table::melt.old.join,5610680
100,405,data.table::melt.new.pattern,12995560
100,405,data.table::melt.old.set,4064520
100,405,data.table::melt.old.join,6266600
100,405,tidyr::pivot_longer,25076720
