N.rep,N.col,expr,time
1,88,data.table::melt.old.set,7433120
1,88,data.table::melt.old.set,7250560
1,88,data.table::melt.old.join,3092480
1,88,data.table::melt.new.var_tab,462920
1,88,data.table::melt.old.join,2822600
1,88,data.table::melt.new.pattern,2079440
1,88,data.table::melt.new.var_tab,387880
1,88,data.table::melt.new.pattern,2114480
1,88,data.table::melt.old.join,2877920
1,88,data.table::melt.new.var_tab,431600
1,88,data.table::melt.new.pattern,2049560
1,88,data.table::melt.new.var_tab,386120
1,88,data.table::melt.old.set,7213960
1,88,data.table::melt.old.join,2887400
1,88,data.table::melt.new.var_tab,427760
1,88,data.table::melt.old.join,2549120
1,88,data.table::melt.new.pattern,2051360
1,88,data.table::melt.new.var_tab,386400
1,88,data.table::melt.old.join,2818360
1,88,data.table::melt.new.pattern,2293920
1,88,data.table::melt.old.set,7724040
1,88,data.table::melt.new.pattern,2201640
1,88,tidyr::pivot_longer,11000960
1,88,tidyr::pivot_longer,10924800
1,88,tidyr::pivot_longer,10831200
1,88,data.table::melt.old.set,7205320
1,88,data.table::melt.new.var_tab,474840
1,88,data.table::melt.old.join,2718160
1,88,data.table::melt.new.var_tab,458800
1,88,data.table::melt.new.var_tab,374600
1,88,data.table::melt.old.set,7118920
1,88,data.table::melt.old.set,7516240
1,88,tidyr::pivot_longer,11382680
1,88,data.table::melt.new.pattern,2136640
1,88,data.table::melt.old.join,2631000
1,88,data.table::melt.new.pattern,2111840
1,88,tidyr::pivot_longer,10995920
1,88,data.table::melt.new.pattern,2093880
1,88,tidyr::pivot_longer,10890640
1,88,data.table::melt.old.set,7246320
1,88,tidyr::pivot_longer,11152400
1,88,tidyr::pivot_longer,10822720
1,88,data.table::melt.old.set,7248000
1,88,data.table::melt.new.var_tab,475400
1,88,tidyr::pivot_longer,10945440
1,88,data.table::melt.old.set,7409240
1,88,tidyr::pivot_longer,12873480
1,88,data.table::melt.old.join,2811160
1,88,data.table::melt.old.join,2547240
1,88,data.table::melt.new.pattern,2152280
3,172,data.table::melt.old.set,7773680
3,172,tidyr::pivot_longer,12808200
3,172,data.table::melt.new.var_tab,685280
3,172,data.table::melt.new.pattern,2614920
3,172,data.table::melt.old.set,7560160
3,172,data.table::melt.new.var_tab,656040
3,172,data.table::melt.new.var_tab,565840
3,172,data.table::melt.old.join,3309280
3,172,data.table::melt.new.var_tab,609520
3,172,data.table::melt.old.join,3062960
3,172,data.table::melt.old.set,7472640
3,172,data.table::melt.old.join,3248400
3,172,tidyr::pivot_longer,12384240
3,172,data.table::melt.old.join,3146720
3,172,tidyr::pivot_longer,13169840
3,172,data.table::melt.new.pattern,2501480
3,172,data.table::melt.old.join,3137560
3,172,data.table::melt.new.var_tab,619160
3,172,data.table::melt.new.pattern,2614240
3,172,data.table::melt.new.pattern,2443960
3,172,data.table::melt.new.pattern,2268840
3,172,data.table::melt.old.join,3114240
3,172,data.table::melt.new.pattern,2442480
3,172,tidyr::pivot_longer,13123040
3,172,data.table::melt.new.var_tab,667320
3,172,data.table::melt.new.var_tab,571400
3,172,data.table::melt.old.set,7815240
3,172,tidyr::pivot_longer,12929960
3,172,tidyr::pivot_longer,12866360
3,172,tidyr::pivot_longer,12762200
3,172,tidyr::pivot_longer,12715040
3,172,data.table::melt.old.set,8238080
3,172,data.table::melt.old.join,3344840
3,172,data.table::melt.old.join,3134920
3,172,data.table::melt.old.join,3312080
3,172,data.table::melt.old.set,7859440
3,172,data.table::melt.new.var_tab,708080
3,172,tidyr::pivot_longer,13024320
3,172,data.table::melt.new.var_tab,663920
3,172,data.table::melt.old.set,7866280
3,172,data.table::melt.old.join,3342840
3,172,data.table::melt.new.pattern,2463400
3,172,data.table::melt.new.pattern,2329600
3,172,data.table::melt.new.pattern,2346440
3,172,data.table::melt.new.pattern,2310440
3,172,tidyr::pivot_longer,12909360
3,172,data.table::melt.old.set,8235920
3,172,data.table::melt.old.set,7888360
3,172,data.table::melt.new.var_tab,704840
3,172,data.table::melt.old.set,7838600
10,466,data.table::melt.new.var_tab,1441760
10,466,data.table::melt.old.join,5173840
10,466,tidyr::pivot_longer,19006640
10,466,data.table::melt.old.join,5937920
10,466,data.table::melt.new.var_tab,1314080
10,466,tidyr::pivot_longer,18781520
10,466,data.table::melt.new.var_tab,1257880
10,466,tidyr::pivot_longer,23550720
10,466,data.table::melt.old.join,4795640
10,466,tidyr::pivot_longer,17762360
10,466,data.table::melt.old.join,4582520
10,466,data.table::melt.old.set,8467400
10,466,data.table::melt.new.var_tab,1270160
10,466,data.table::melt.new.pattern,3746680
10,466,data.table::melt.new.pattern,3648520
10,466,data.table::melt.old.join,4491960
10,466,data.table::melt.new.pattern,3724560
10,466,data.table::melt.new.pattern,3645600
10,466,data.table::melt.old.set,8470200
10,466,data.table::melt.new.var_tab,1330120
10,466,tidyr::pivot_longer,17793200
10,466,data.table::melt.old.join,4783240
10,466,tidyr::pivot_longer,18642000
10,466,data.table::melt.new.var_tab,1409360
10,466,data.table::melt.old.join,5113360
10,466,data.table::melt.old.set,9096840
10,466,tidyr::pivot_longer,18242960
10,466,data.table::melt.old.set,8884160
10,466,data.table::melt.old.set,8853560
10,466,data.table::melt.new.pattern,3831120
10,466,data.table::melt.new.var_tab,1166560
10,466,data.table::melt.new.var_tab,1158600
10,466,tidyr::pivot_longer,18490080
10,466,data.table::melt.old.join,4826560
10,466,data.table::melt.old.set,9063040
10,466,data.table::melt.old.set,9043440
10,466,data.table::melt.new.pattern,3898760
10,466,data.table::melt.new.pattern,3684200
10,466,data.table::melt.new.pattern,3664160
10,466,data.table::melt.new.var_tab,1297760
10,466,data.table::melt.new.pattern,3803640
10,466,data.table::melt.old.set,21109760
10,466,data.table::melt.old.set,8535120
