N.rows,expr,time
10,stats::reshape-4,78377360
10,cdata::unpivot_to_blocks-0,43785840
10,tidyr::gather-4,16242240
10,tidyr::gather-4,13306760
10,data.table::melt-0,1101280
10,stats::reshape-4,66654480
10,tidyr::gather-0,6003920
10,cdata::unpivot_to_blocks-0,23825240
10,utils::stack-4,9922080
10,tidyr::pivot_longer-4,24841760
10,data.table::melt-0,565320
10,cdata::unpivot_to_blocks-0,23126720
10,cdata::unpivot_to_blocks-0,23138080
10,cdata::unpivot_to_blocks-4,29152280
10,nc::capture_melt_single-0,13919880
10,tidyfast::dt_pivot_longer-0,921560
10,reshape2::melt-0,3326960
10,tidyr::gather-0,6124320
10,data.table::melt-4,24175120
10,tidyr::pivot_longer-4,10528360
10,reshape2::melt-0,2665440
10,tidyr::gather-0,6035240
10,stats::reshape-0,47361720
10,data.table::melt-0,545480
10,tidyr::gather-4,6603880
10,nc::capture_melt_single-4,9478360
10,nc::capture_melt_single-4,9265640
10,reshape2::melt-0,2713040
10,utils::stack-0,2899720
10,tidyfast::dt_pivot_longer-4,879200
10,cdata::unpivot_to_blocks-0,23036480
10,data.table::melt-0,604240
10,utils::stack-4,9103080
10,nc::capture_melt_single-0,17760560
10,reshape2::melt-0,2728000
10,data.table::melt-0,559320
10,tidyfast::dt_pivot_longer-0,534200
10,data.table::melt-4,789240
10,tidyr::gather-0,6072200
10,nc::capture_melt_single-0,8805280
10,utils::stack-0,2846440
10,data.table::melt-0,543720
10,data.table::melt-4,740160
10,tidyr::pivot_longer-0,9834960
10,stats::reshape-4,51525200
10,cdata::unpivot_to_blocks-0,23545280
10,tidyfast::dt_pivot_longer-0,687080
10,reshape2::melt-0,2642040
10,utils::stack-4,8712960
10,reshape2::melt-4,3143000
10,nc::capture_melt_single-0,8882720
10,stats::reshape-4,60604880
10,tidyr::gather-4,6708400
10,tidyr::pivot_longer-4,10750400
10,utils::stack-4,8898720
10,tidyfast::dt_pivot_longer-0,610320
10,stats::reshape-0,47255000
10,tidyr::pivot_longer-0,9897600
10,utils::stack-0,3216840
10,nc::capture_melt_single-0,9090800
10,utils::stack-0,2820040
10,stats::reshape-0,55706680
10,stats::reshape-4,51798920
10,utils::stack-0,2934120
10,nc::capture_melt_single-0,8919320
10,tidyfast::dt_pivot_longer-0,604400
10,stats::reshape-0,47187520
10,stats::reshape-4,61402160
10,reshape2::melt-4,3168560
10,utils::stack-0,2889840
10,reshape2::melt-4,3154520
10,data.table::melt-0,561680
10,utils::stack-0,2907520
10,tidyr::pivot_longer-4,10338920
10,stats::reshape-0,46955360
10,tidyr::pivot_longer-0,10100160
10,cdata::unpivot_to_blocks-4,28941400
10,data.table::melt-4,887520
10,tidyr::pivot_longer-4,10519920
10,tidyr::gather-4,15346920
10,cdata::unpivot_to_blocks-4,28460440
10,stats::reshape-4,51401880
