N.row,expr,time
1000,data.table::melt,10066120
1000,data.table::melt,9631240
1000,stats::reshape,8143640
1000,data.table::melt,10662160
1000,stats::reshape,8725040
1000,tidyr::pivot_longer,11484800
1000,data.table::melt,10638000
1000,tidyr::pivot_longer,20350320
1000,tidyr::pivot_longer,10757480
1000,tidyr::pivot_longer,10690200
1000,tidyr::pivot_longer,10744360
1000,cdata::rowrecs_to_blocks,33032680
1000,data.table::melt,10425240
1000,cdata::rowrecs_to_blocks,32770600
1000,nc::capture_melt_multiple,16206800
1000,stats::reshape,9688280
1000,nc::capture_melt_multiple,15951640
1000,tidyr::pivot_longer,11571120
3162,tidyr::pivot_longer,14052680
3162,data.table::melt,10362200
3162,tidyr::pivot_longer,12376280
3162,nc::capture_melt_multiple,14878760
3162,data.table::melt,10092800
3162,tidyr::pivot_longer,12200280
3162,data.table::melt,10067360
3162,stats::reshape,20484760
3162,tidyr::pivot_longer,13148320
3162,stats::reshape,17774240
3162,data.table::melt,10304360
3162,cdata::rowrecs_to_blocks,45661760
3162,nc::capture_melt_multiple,16135560
3162,data.table::melt,11107760
3162,stats::reshape,17680600
3162,nc::capture_melt_multiple,16723240
3162,cdata::rowrecs_to_blocks,55889320
3162,cdata::rowrecs_to_blocks,44118560
3162,nc::capture_melt_multiple,15105640
3162,stats::reshape,17458080
3162,data.table::melt,10305520
3162,stats::reshape,18122400
3162,tidyr::pivot_longer,12451680
3162,cdata::rowrecs_to_blocks,44510560
3162,cdata::rowrecs_to_blocks,44568960
3162,tidyr::pivot_longer,13717280
3162,stats::reshape,28394200
3162,stats::reshape,17435080
3162,data.table::melt,10255640
3162,nc::capture_melt_multiple,14802440
3162,nc::capture_melt_multiple,15520840
3162,data.table::melt,10350320
3162,stats::reshape,17640080
3162,nc::capture_melt_multiple,15394880
3162,tidyr::pivot_longer,12168920
3162,tidyr::pivot_longer,12036960
3162,cdata::rowrecs_to_blocks,44808000
3162,cdata::rowrecs_to_blocks,45614840
3162,cdata::rowrecs_to_blocks,54211040
3162,tidyr::pivot_longer,12706720
3162,nc::capture_melt_multiple,15216920
3162,data.table::melt,10077760
3162,stats::reshape,17366240
3162,stats::reshape,17491840
3162,nc::capture_melt_multiple,15653160
3162,cdata::rowrecs_to_blocks,44387000
3162,tidyr::pivot_longer,12877280
3162,cdata::rowrecs_to_blocks,45862360
3162,data.table::melt,11200600
3162,nc::capture_melt_multiple,16054000
10000,stats::reshape,57932720
10000,data.table::melt,11180160
10000,stats::reshape,48268240
10000,cdata::rowrecs_to_blocks,82742640
10000,cdata::rowrecs_to_blocks,83452320
10000,cdata::rowrecs_to_blocks,85306440
