capture groups,type conversions,N.rep,N.col,expr,time
3,0,3,17,cdata::rowrecs_to_blocks,10052022
3,0,3,17,cdata::rowrecs_to_blocks,10279471
3,0,3,17,cdata::rowrecs_to_blocks,10642298
3,0,3,17,cdata::rowrecs_to_blocks,10310589
3,0,3,17,cdata::rowrecs_to_blocks,10842479
3,0,3,17,cdata::rowrecs_to_blocks,10247070
3,0,3,17,cdata::rowrecs_to_blocks,12493970
3,0,3,17,cdata::rowrecs_to_blocks,10240654
3,0,3,17,cdata::rowrecs_to_blocks,10070949
3,0,10,45,nc::capture_melt_multiple,10485105
3,0,10,45,nc::capture_melt_multiple,8674497
3,0,10,45,nc::capture_melt_multiple,8554837
3,0,10,45,nc::capture_melt_multiple,8375188
3,0,10,45,nc::capture_melt_multiple,8401815
3,0,10,45,nc::capture_melt_multiple,8532702
3,0,10,45,nc::capture_melt_multiple,8569595
3,0,10,45,nc::capture_melt_multiple,8344712
3,0,10,45,nc::capture_melt_multiple,8508000
3,0,10,45,nc::capture_melt_multiple,8602316
3,0,10,45,tidyr::pivot_longer,3650732
3,0,10,45,tidyr::pivot_longer,3286942
3,0,10,45,tidyr::pivot_longer,3260316
3,0,10,45,tidyr::pivot_longer,3523694
3,0,10,45,tidyr::pivot_longer,3372596
3,0,10,45,tidyr::pivot_longer,3252295
3,0,10,45,tidyr::pivot_longer,3246200
3,0,10,45,tidyr::pivot_longer,3486481
3,0,10,45,tidyr::pivot_longer,3395052
3,0,10,45,tidyr::pivot_longer,3290791
3,0,10,45,data.table::melt,984223
3,0,10,45,data.table::melt,931611
3,0,10,45,data.table::melt,910438
3,0,10,45,data.table::melt,908834
3,0,10,45,data.table::melt,932252
3,0,10,45,data.table::melt,3612556
3,0,10,45,data.table::melt,877395
3,0,10,45,data.table::melt,850448
3,0,10,45,data.table::melt,841144
3,0,10,45,data.table::melt,841786
3,0,10,45,stats::reshape,5139255
3,0,10,45,stats::reshape,5012216
3,0,10,45,stats::reshape,4896086
3,0,10,45,stats::reshape,4811074
3,0,10,45,stats::reshape,4922392
3,0,10,45,stats::reshape,4865611
3,0,10,45,stats::reshape,4884859
